show_id,type,title,cast,release_year,duration.int,duration.type,rating
ns335,movie,five feet apart,"haley lu richardson, cole sprouse, moisés arias, kimberly hébert gregory, parminder nagra, claire forlani, emily baldoni, gary weeks, cynthia evans",2019,116.0,min,3.52
ns336,movie,freedomland,"samuel l. jackson, julianne moore, edie falco, ron eldard, william forsythe, aunjanue ellis, anthony mackie, latanya richardson jackson, clarke peters, peter friedman, domenick lombardozzi",2006,113.0,min,3.556768558951965
ns337,tv show,friday night lights,"kyle chandler, connie britton, aimee teegarden, taylor kitsch, jesse plemons, minka kelly, zach gilford, adrianne palicki, derek phillips, brad leland, gaius charles, timothy f. crowley, louanne stephens, stacey oristano, scott porter",2010,5.0,seasons,3.5363825363825363
ns338,movie,good luck chuck,"dane cook, jessica alba, dan fogler, ellia english, sasha pieterse, annie wood, lonny ross, chelan simmons, simone bailly, jodelle ferland, crystal lowe, troy gentile, georgia craig, michelle harrison, chiara zanni",2007,99.0,min,3.5446058091286305
ns339,tv show,hunter x hunter (2011),"megumi han, mariya ise, keiji fujiwara, miyuki sawashiro, daisuke namikawa",2014,6.0,seasons,3.52073732718894
ns340,movie,i missed you: director's cut,"wu kang-ren, eve ai, fu meng-po, lin mei-hsiu, 9m88",2021,96.0,min,3.5521064301552108
ns341,movie,inception,"leonardo dicaprio, joseph gordon-levitt, elliot page, tom hardy, ken watanabe, dileep rao, cillian murphy, tom berenger, marion cotillard, pete postlethwaite, michael caine, lukas haas",2010,148.0,min,3.4563758389261743
ns342,movie,magnolia,"john c. reilly, philip baker hall, tom cruise, julianne moore, philip seymour hoffman, william h. macy, jeremy blackman, jason robards, melinda dillon, april grace, luis guzmán, ricky jay, alfred molina, michael murphy, melora walters",1999,189.0,min,3.524950099800399
ns343,movie,major payne,"damon wayans, karyn parsons, william hickey, michael ironside, albert hall, ross bickell, orlando brown, peyton chesson-fohl, steven martini",1995,97.0,min,3.5760649087221097
ns344,movie,my girl,"dan aykroyd, jamie lee curtis, macaulay culkin, anna chlumsky, richard masur, griffin dunne, ann nelson, peter michael goetz, jane hallaren, anthony r. jones",1991,102.0,min,3.528604118993135
ns345,movie,my girl 2,"anna chlumsky, austin o'brien, dan aykroyd, jamie lee curtis, richard masur, christine ebersole, angeline ball",1994,99.0,min,3.4661654135338344
